path	rg	cs_prod	cs_test	sub_call	sub_fn_ptr	sub_serde	sub_string	sub_comment	a	b	c	comment
crates/adapters/capital/src/executor_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/capital/src/live_provider_inline_tests.rs	4	0	2	2	0	0	1	1	0	0	4	0
crates/adapters/capital/src/live_provider_ws_types.rs	1	1	0	0	1	0	0	0	1	0	0	0
crates/adapters/capital/src/provider.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/ccdata/src/provider_tests.rs	2	0	2	2	0	0	0	0	0	0	2	0
crates/adapters/ccdata/tests/integration_api.rs	21	0	0	21	0	0	0	0	0	0	21	0
crates/adapters/ccdata/tests/integration_derivatives.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/email-delivery/src/lib.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/email-delivery/tests/integration_1802_daily_digest.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/ephemeral/src/budget_tracker.rs	2	2	0	2	0	0	0	0	2	0	0	0
crates/adapters/ephemeral/src/clock.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/ephemeral/src/coverage_analyzer.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/adapters/ephemeral/src/historical_funding_tests.rs	8	0	8	8	0	0	0	0	0	0	8	0
crates/adapters/ephemeral/src/live_cointegration_checker.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/ephemeral/src/rate_limit_repository.rs	2	2	0	2	0	0	0	0	2	0	0	0
crates/adapters/ephemeral/src/series_health.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/executor/src/engine/factory_tests.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/adapters/executor/src/engine/tests/basic.rs	2	0	2	2	0	0	0	0	0	0	2	0
crates/adapters/executor/src/executor/ledger_paper.rs	2	2	0	2	0	0	0	0	2	0	0	0
crates/adapters/executor/src/executor/ledger_paper_tests.rs	2	0	2	0	0	0	2	0	0	0	2	0
crates/adapters/executor/src/orchestration/pair_engine_tests.rs	7	0	7	7	0	0	0	0	0	0	7	0
crates/adapters/executor/src/orchestration/sweep_runner.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/executor/src/orchestration/walk_forward_runner.rs	2	2	0	0	2	0	0	0	2	0	0	0
crates/adapters/executor/src/voter/prepopulate.rs	7	6	0	0	6	0	0	1	6	0	0	1
crates/adapters/executor/tests/bdd_infra/bdd_2971_funding_rate_injection.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/executor/tests/bdd_infra/bdd_executor_contract.rs	1	0	0	0	0	0	1	0	0	0	1	0
crates/adapters/executor/tests/bdd_infra/bdd_ledger_paper_executor.rs	1	0	0	0	0	0	1	0	0	0	1	0
crates/adapters/executor/tests/bdd_pure/bdd_1849_vol_targeting.rs	6	0	0	0	6	0	0	0	0	0	6	0
crates/adapters/executor/tests/bdd_pure/bdd_2049_conditional_vol_targeting.rs	4	0	0	0	4	0	0	0	0	0	4	0
crates/adapters/executor/tests/bdd_pure/bdd_2177_drawdown_control.rs	2	0	0	0	2	0	0	0	0	0	2	0
crates/adapters/executor/tests/bdd_pure/bdd_695_fill_model.rs	2	0	0	0	2	0	0	0	0	0	2	0
crates/adapters/executor/tests/bdd_pure/bdd_backtest_engine.rs	14	0	0	0	14	0	0	0	0	0	14	0
crates/adapters/executor/tests/bdd_pure/bdd_compound_stop.rs	2	0	0	0	2	0	0	0	0	0	2	0
crates/adapters/executor/tests/bdd_pure/bdd_trade_management.rs	2	0	0	0	2	0	0	0	0	0	2	0
crates/adapters/executor/tests/harness/bdd_2485_current_price_split_brain.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/executor/tests/harness/bdd_executor.rs	1	0	0	0	0	0	1	0	0	0	1	0
crates/adapters/executor/tests/harness/e2e_paper_trading_real.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/executor/tests/harness/helpers.rs	1	0	0	0	0	0	1	0	0	0	1	0
crates/adapters/executor/tests/harness/integration_short_selling_2409.rs	2	0	0	0	2	0	0	0	0	0	2	0
crates/adapters/executor/tests/harness/smoke_paper_trading_rejections.rs	1	0	0	0	0	0	1	0	0	0	1	0
crates/adapters/inmemory-collection/src/collection/fetch_scheduler.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/inmemory-collection/src/collection/funding_rate.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/inmemory-collection/src/collection/funding_repository_tests.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/adapters/inmemory-collection/src/collection/gap_policy.rs	4	4	0	4	0	0	0	0	4	0	0	0
crates/adapters/inmemory-collection/src/collection/gap_policy_tests.rs	8	0	8	8	0	0	0	0	0	0	8	0
crates/adapters/inmemory-collection/src/collection/gap_repository.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/inmemory-collection/src/data/candle_observation_repository_tests.rs	9	0	9	9	0	0	0	0	0	0	9	0
crates/adapters/inmemory-collection/src/data/data_provider.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/inmemory-collection/src/data/raw_candle_repository.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/inmemory-strategy/src/backtest/coverage_calculator_tests.rs	12	0	12	12	0	0	0	0	0	0	12	0
crates/adapters/inmemory-strategy/src/strategy/test_strategies_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/inmemory-trading/src/risk/risk_state.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/inmemory-trading/src/trading/fee_source.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/inmemory-trading/src/trading/fee_source_tests.rs	2	0	2	2	0	0	0	0	0	0	2	0
